Run,Sam.file.name,LABID
GTseq.prod.all169,z0043979_Mnov_GTseek_027_037_PLT_7.fastq.sam,z0043979
GTseq.prod.all171,z0043980_Mnov_GTseek_027_039_PLT_7.fastq.sam,z0043980
GTseq.prod.all172,z0043980_Mnov_GTseek_027_175_PLT_7.fastq.sam,z0043980
GTseq.prod.all173,z0043994_Mnov_GTseek_027_041_PLT_7.fastq.sam,z0043994
GTseq.prod.all174,z0044017_Mnov_GTseek_027_043_PLT_7.fastq.sam,z0044017
GTseq.prod.all175,z0044019_Mnov_GTseek_027_045_PLT_7.fastq.sam,z0044019
GTseq.prod.all176,z0044023_Mnov_GTseek_027_047_PLT_7.fastq.sam,z0044023
GTseq.prod.all177,z0044033_Mnov_GTseek_027_049_PLT_7.fastq.sam,z0044033
GTseq.prod.all179,z0044042_Mnov_GTseek_027_051_PLT_7.fastq.sam,z0044042
GTseq.prod.all180,z0044042_Mnov_GTseek_027_177_PLT_7.fastq.sam,z0044042
GTseq.prod.all181,z0044044_Mnov_GTseek_027_053_PLT_7.fastq.sam,z0044044
GTseq.prod.all182,z0044047_Mnov_GTseek_027_055_PLT_7.fastq.sam,z0044047
GTseq.prod.all183,z0044056_Mnov_GTseek_027_057_PLT_7.fastq.sam,z0044056
GTseq.prod.all184,z0044059_Mnov_GTseek_027_059_PLT_7.fastq.sam,z0044059
GTseq.prod.all185,z0044064_Mnov_GTseek_027_061_PLT_7.fastq.sam,z0044064
GTseq.prod.all186,z0044074_Mnov_GTseek_027_063_PLT_7.fastq.sam,z0044074
GTseq.prod.all187,z0044432_Mnov_GTseek_027_065_PLT_7.fastq.sam,z0044432
GTseq.prod.all188,z0045317_Mnov_GTseek_027_067_PLT_7.fastq.sam,z0045317
GTseq.prod.all189,z0045326_Mnov_GTseek_022_144_PLT_2.fastq.sam,z0045326
GTseq.prod.all190,z0045329_Mnov_GTseek_022_146_PLT_2.fastq.sam,z0045329
GTseq.prod.all191,z0045331_Mnov_GTseek_022_032_PLT_2.fastq.sam,z0045331
GTseq.prod.all193,z0045332_Mnov_GTseek_022_148_PLT_2.fastq.sam,z0045332
GTseq.prod.all194,z0045332_Mnov_GTseek_022_190_PLT_2.fastq.sam,z0045332
