"","AnimalID","LABID","SEX","HAP","mito.haps","wint.area","feed.area","herd","HI.v.HI.SEAK","MnMx.v.MnMx.CA.OR.WA"
"530","z0045357","z0045357","M","E1","MnMito13N","SMx","CA.OR.WA","SMx-CA.OR.WA",NA,NA
"531","z0051404","z0051404","F","E1",NA,"SMx","CA.OR.WA","SMx-CA.OR.WA",NA,NA
"532","z0175915","z0175915","F","E1",NA,"SMx","CA.OR.WA","SMx-CA.OR.WA",NA,NA
"533","z0175927","z0175927","M","E1",NA,"SMx","CA.OR.WA","SMx-CA.OR.WA",NA,NA
"534","z0187842","z0187842","F","E1",NA,"SMx","CA.OR.WA","SMx-CA.OR.WA",NA,NA
"535","z0187868","z0187868","F","E1",NA,"SMx","CA.OR.WA","SMx-CA.OR.WA",NA,NA
"536","z0053055","z0053055","M","E1_E11","MnMito14","SMx","CA.OR.WA","SMx-CA.OR.WA",NA,NA
"537","z0196760","z0196760","F","E1_E11",NA,"SMx","CA.OR.WA","SMx-CA.OR.WA",NA,NA
"538","z0196823","z0196823","M","E1_E11",NA,"SMx","CA.OR.WA","SMx-CA.OR.WA",NA,NA
"539","z0197682","z0197682","M","E1_E11",NA,"SMx","CA.OR.WA","SMx-CA.OR.WA",NA,NA
"540","z0012701","z0012701","F","E10",NA,"SMx","WA.SBC","SMx-WA.SBC",NA,NA
"541","z0195700","z0195700","M","E10",NA,"SMx","CA.OR.WA","SMx-CA.OR.WA",NA,NA
"542","z0195715","z0195715","F","E10",NA,"SMx","CA.OR.WA","SMx-CA.OR.WA",NA,NA
"543","z0197664","z0197664","M","E10",NA,"SMx","CA.OR.WA","SMx-CA.OR.WA",NA,NA
"544","z0107073","z0107073","M","E13",NA,"SMx","CA.OR.WA","SMx-CA.OR.WA",NA,NA
"545","z0107067","z0178296","M","E5","MnMito23","SMx","CA.OR.WA","SMx-CA.OR.WA",NA,NA
"546","z0051402","z0051402","M","E6","MnMito25","SMx","CA.OR.WA","SMx-CA.OR.WA",NA,NA
"547","z0045329","z0045329","F","F2","MnMito29","SMx","CA.OR.WA","SMx-CA.OR.WA",NA,NA
"548","z0045358","z0045358","F","F2","MnMito29","SMx","CA.OR.WA","SMx-CA.OR.WA",NA,NA
"549","z0107055","z0107055","M","F2",NA,"SMx","CA.OR.WA","SMx-CA.OR.WA",NA,NA
"550","z0107078","z0107078","M","F2",NA,"SMx","CA.OR.WA","SMx-CA.OR.WA",NA,NA
"551","z0107080","z0107080","M","F2",NA,"SMx","CA.OR.WA","SMx-CA.OR.WA",NA,NA
"552","z0108480","z0108480","F","F2","MnMito29","SMx","CA.OR.WA","SMx-CA.OR.WA",NA,NA
"553","z0108508","z0108508","M","F2","MnMito29","SMx","CA.OR.WA","SMx-CA.OR.WA",NA,NA
"554","z0108510","z0108510","F","F2",NA,"SMx","CA.OR.WA","SMx-CA.OR.WA",NA,NA
"555","z0175953","z0197658","M","F2",NA,NA,NA,NA,NA,NA
"556","z0187811","z0187811","F","F2",NA,"SMx","CA.OR.WA","SMx-CA.OR.WA",NA,NA
"557","z0187859","z0187859","F","F2",NA,"SMx","CA.OR.WA","SMx-CA.OR.WA",NA,NA
"558","z0196753","z0196753","F","F2",NA,"SMx","CA.OR.WA","SMx-CA.OR.WA",NA,NA
"559","z0196795","z0196795","M","F2",NA,"SMx","CA.OR.WA","SMx-CA.OR.WA",NA,NA
"560","z0196822","z0196822","F","F2",NA,"SMx","CA.OR.WA","SMx-CA.OR.WA",NA,NA
"561","z0196792","z0196792","M","F3",NA,"SMx","CA.OR.WA","SMx-CA.OR.WA",NA,NA
"562","z0051968","z0051968","F","F4","MnMito42","SMx","CA.OR.WA","SMx-CA.OR.WA",NA,NA
