"","AnimalID","LABID.x","Duplicate1","Duplicate2","Duplicate3","Herd","all.2021.data.herds","SEX","HAP","mito.haps","USE","GTseq.stratum","Optimization.sample","Main.run","Latitude","Longitude","YR","SOURCE","Contact","Notes","Permission.requested","Permission.received","Photo.Need.permission","Photo.Have.permission","LABID.y","prod","val","MS43","MS45","MS51","MS54","times.run","genos.10readsMin","genos.20readsMin","OLD Include on 3rd MiSeq run","NEW Include on 3rd MiSeq run","Use as replicate (from previous PCR1)"
"59",56387,56387,"187911","187912","NA","Baker.CentAm","CentAm","F","E1","NA","ddRAD.CentAm","CentAm","x","x","10.966666","-85.85","2005","BIOPSY-COSTA RICA-SPLASH","John","NA","44503","Yes, collaborator","NA","Nico","z0187911",FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,2,185,105,"Yes","Yes",NA
"60",5757,5757,"NA","NA","NA","MMex","MnMx-CA/OR/WA/SBC","F","F2","MnMito32","mito","MnMx-CA/OR/WA/SBC","NA","x","37.583333000000003","-123.016666","1996","BIOPSY-SWFSC-ORCAWA","Jay","NA","44502","44503","NA","Cascadia match pre-HW","z0005757",TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,2,185,135,"Yes","Yes",NA
"61",41248,41248,"NA","NA","NA","NA","HI-GOA","M","Aplus","NA","HI.nonSEAK","HI-GOA","NA","x","21.966666","-156.716666","2004","BIOPSY-HIHWNMS","Dave Mattila","NA","NA","NA","NA","SPLASH match","z0041248",TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,2,186,58,"Yes","Yes",NA
"62",196805,196805,"NA","NA","NA","NA","NA","F","E1_E11","NA","CCES","NA","NA","x","36.786299999999997","-121.84399999999999","2018","BIOPSY-CASCADIA","John","NA","44503","Yes, collaborator","NA","NA - no winter photo","z0196805",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,2,187,113,"Yes","Yes",NA
"63",53760,53760,"NA","NA","NA","CentAm","CentAm","M","E5","MnMito23","mito","CentAm","x","x","13.85","-90.55","2006","BIOPSY-GUATEMALA-SPLASH","John","NA","44503","Yes, collaborator","NA","NA - collected in CentAm","z0053760",FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,2,189,114,"Yes","Yes",NA
"64",197660,197660,"NA","NA","NA","NA","NA","M","Aminus","NA","CCES","NA","NA","x","36.6584","-121.9472","2018","BIOPSY-CASCADIA","John","NA","44503","Yes, collaborator","NA","NA - no winter photo","z0197660",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,2,191,152,"Yes","Yes",NA
"65",53133,53133,"NA","NA","NA","NA","HI-SEAK","M","Aminus","NA","HI-SEAK","HI-SEAK/NBC","x","x","52.333333000000003","-131.033333","2005","BIOPSY-CANADA-SPLASH","Thomas Doniol-Valcroze","NA","NA","Yes, collaborator","NA","PWF","z0053133",FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,2,192,118,"Yes","Yes",NA
"66",195693,195693,"NA","NA","NA","NA","NA","M","E2","NA","CCES","NA","NA","x","46.943600000000004","-124.73520000000001","2018","BIOPSY-SWFSC-CCES","Jeff","NA","44502","44502","NA","NA - no winter photo","z0195693",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,2,192,144,"Yes","Yes",NA
"67",195663,195663,"NA","NA","NA","NA","MnMx-CA/OR/WA/SBC","M","E4","NA","CCES","MnMx-CA/OR/WA/SBC","x","x","47.972200000000001","-125.4568","2018","BIOPSY-SWFSC-CCES","Jeff","NA","44502","44502","NA","Nico","z0195663",FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,2,194,105,"Yes","Yes","x"
"68",56069,56069,"NA","NA","NA","NA","MnMx-Baker","M","Aplus","NA","NA","MnMx-Baker","NA","x","20.666665999999999","-105.38333299999999","2004","BIOPSY-MEXICO-SPLASH","NA","bonus","NA","NA","NA","NA - no herd assigned","z0056069",TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,2,196,142,"Yes","Yes",NA
"69",108528,195767,"108528","NA","NA","NA","MnMx-CA/OR/WA/SBC","M","F2","NA","CCES","MnMx-CA/OR/WA/SBC","x","x","42.401000000000003","-124.5153","2018","BIOPSY-SWFSC-CCES","Jeff","NA","44502","44502","NA","Nico","z0195767",FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,2,196,125,"Yes","Yes",NA
"70",195682,195682,"NA","NA","NA","NA","NA","F","E4","NA","CCES","NA","NA","x","48.088900000000002","-125.6515","2018","BIOPSY-SWFSC-CCES","Jeff","NA","44502","44502","NA","NA - no winter photo","z0195682",TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,3,197,157,"Yes","Yes",NA
"71",41274,41274,"NA","NA","NA","NA","HI-SEAK/NBC","M","Aplus","NA","NA","HI-SEAK/NBC","NA","x","21.983332999999998","-159.783333","2004","BIOPSY-HIHWNMS","NA","bonus","NA","NA","NA","Wintering ground photo was from SPLASH, matched to non-SPLASH photo taken by Jan/Chris/Janet","z0041274",TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,2,198,138,"Yes","Yes",NA
"72",195778,195778,"NA","NA","NA","NA","NA","F","F2","NA","CCES","NA","NA","x","42.125500000000002","-124.5731","2018","BIOPSY-SWFSC-CCES","Jeff","NA","44502","44502","NA","NA - no winter photo","z0195778",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,2,201,129,"Yes","Yes",NA
