LABID,GTseq.val,GTseq.prod,RunMS43,RunMS45.90s,RunMS51,RunMS54,RunMS58
z0195710,NA,262,NA,NA,328,NA,NA
z0195712,NA,180,NA,NA,328,NA,NA
z0195717,NA,240,NA,NA,328,NA,NA
z0196749,NA,252,NA,NA,328,NA,NA
z0196756,NA,237,NA,NA,328,NA,NA
z0196860,NA,119,NA,NA,328,NA,NA
z0045350,NA,NA,NA,NA,328,NA,NA
z0045350b,NA,NA,NA,NA,328,NA,NA
z0066792b,NA,NA,NA,NA,328,NA,NA
z0195706,NA,NA,NA,NA,328,NA,NA
z0196833b,NA,NA,NA,NA,328,NA,NA
z0018264,311,NA,NA,NA,329,NA,NA
z0187860,NA,92,NA,NA,329,NA,NA
z0195708,NA,286,NA,NA,329,NA,NA
z0195738,NA,279,NA,NA,329,NA,NA
z0196714,NA,262,NA,NA,329,NA,NA
z0196757,NA,262,NA,NA,329,NA,NA
z0196822,NA,129,NA,NA,329,NA,NA
z0197679,NA,1,NA,NA,329,NA,NA
z0056391,NA,NA,NA,NA,329,NA,NA
z0196854b,NA,NA,NA,NA,329,NA,NA
z0196783,262,NA,NA,NA,330,NA,NA
z0045357,NA,249,NA,NA,330,NA,NA
z0195709,NA,242,NA,NA,330,NA,NA
z0195733,NA,291,NA,NA,330,NA,NA
z0195748,NA,223,NA,NA,330,NA,NA
z0196859,NA,110,NA,NA,330,NA,NA
z0056397,NA,NA,NA,NA,330,NA,NA
z0107055,NA,NA,NA,NA,330,NA,NA
z0195713b,NA,NA,NA,NA,330,NA,NA
z0107073,NA,319,NA,NA,331,NA,NA
z0196707,NA,45,NA,NA,331,NA,NA
z0196742,NA,233,NA,NA,331,NA,NA
z0187860b,NA,NA,NA,NA,331,NA,NA
z0195742b,NA,NA,NA,NA,331,NA,NA
z0029833,NA,244,NA,NA,332,NA,NA
z0195735,NA,262,NA,NA,332,NA,NA
z0045329,NA,19,NA,NA,333,NA,NA
z0195713,NA,68,NA,NA,334,NA,NA
z0195742,NA,186,NA,NA,335,NA,NA
z0051402b,NA,NA,NA,NA,335,NA,NA
z0012702,297,NA,NA,NA,NA,221,NA
z0040333,300,NA,NA,NA,NA,329,NA
z0040364,277,NA,NA,NA,NA,334,NA
z0040439,245,NA,NA,NA,NA,337,NA
z0040985,297,NA,NA,NA,NA,4,NA
z0041051,160,NA,131,NA,NA,243,NA
z0043765,1,NA,NA,NA,NA,NA,NA
z0043966,222,NA,NA,NA,NA,313,NA
z0047562,150,NA,NA,NA,NA,293,NA
z0047854,76,NA,213,322,NA,289,NA
z0051327,74,NA,NA,NA,NA,324,NA
z0051431,276,NA,NA,NA,NA,28,NA
z0051840,261,NA,NA,NA,NA,NA,NA
z0053020,161,NA,NA,NA,NA,275,NA
z0053024,157,NA,NA,NA,NA,302,NA
z0053031,154,NA,NA,NA,NA,329,NA
z0053032,187,NA,NA,NA,NA,321,NA
z0053032b,307,NA,NA,NA,NA,NA,NA
z0053040,194,NA,NA,NA,NA,313,NA
z0053071,275,NA,NA,NA,NA,323,NA
z0053083,262,NA,NA,NA,NA,283,NA
z0053090,181,NA,NA,NA,NA,291,NA
z0053100,166,NA,178,293,NA,281,NA
z0053102,141,NA,NA,NA,NA,308,NA
z0053111,234,NA,NA,NA,NA,321,NA
z0053131,198,NA,NA,NA,NA,329,NA
z0053142,254,NA,NA,NA,NA,322,NA
z0055996,175,NA,NA,NA,NA,324,NA
z0055997,179,NA,NA,NA,NA,322,NA
z0055998,169,NA,NA,NA,NA,321,NA
z0063269,138,NA,NA,NA,NA,NA,NA
z0063273,191,NA,NA,NA,NA,NA,NA
z0063275,139,NA,NA,NA,NA,NA,NA
z0063328,155,NA,NA,NA,NA,NA,NA
z0063342,68,NA,NA,NA,NA,NA,NA
z0075696,113,NA,19,217,NA,310,NA
z0195699,214,NA,NA,NA,NA,328,NA
z0195699b,285,NA,NA,NA,NA,NA,NA
z0195701,245,NA,NA,NA,NA,301,NA
z0195704,191,NA,NA,NA,NA,329,NA
z0196719,220,NA,NA,NA,NA,329,NA
z0196729,207,NA,NA,NA,NA,322,NA
z0196734,261,NA,NA,NA,NA,323,NA
z0196740,213,NA,NA,NA,NA,310,NA
z0196763,184,NA,NA,NA,NA,323,NA
z0196764,144,NA,NA,NA,NA,330,NA
z0196774,241,NA,NA,NA,NA,329,NA
z0196834,250,NA,NA,NA,NA,97,NA
z0196843,248,NA,NA,NA,NA,141,NA
z0196849,259,NA,NA,NA,NA,323,NA
z0196852,298,NA,NA,NA,NA,325,NA
z0196855,298,NA,NA,NA,NA,326,NA
z0196856,307,NA,NA,NA,NA,324,NA
z0196857,298,NA,NA,NA,NA,327,NA
z0009880,NA,128,NA,NA,NA,NA,NA
z0011162,NA,270,NA,NA,NA,NA,NA
z0012201,NA,292,NA,NA,NA,NA,NA
z0012201b,NA,248,NA,NA,NA,NA,NA
z0012701,NA,321,NA,NA,NA,303,NA
z0016579,NA,269,NA,NA,NA,327,NA
z0017317,NA,280,NA,NA,NA,NA,NA
z0025405,NA,1,NA,NA,NA,1,NA
z0025439,NA,235,NA,NA,NA,NA,NA
z0025439b,NA,300,NA,NA,NA,NA,NA
z0029833b,NA,297,NA,NA,NA,NA,NA
z0030424,NA,272,NA,NA,NA,NA,NA
