AnimalID,LABID.x,Duplicate1,Duplicate2,Duplicate3,Herd,all.2021.data.herds,SEX,HAP,mito.haps,USE,GTseq.stratum,Optimization.sample,Main.run,Latitude,Longitude,YR,SOURCE,Contact,Notes,Permission.requested,Permission.received,Photo.Need.permission,Photo.Have.permission,LABID.y,prod,val,MS43,MS45,MS51,MS54,times.run,genos.10readsMin,genos.20readsMin,Include on 3rd MiSeq run
43631,43631,NA,NA,NA,NA,HI-GOA,M,Aplus,NA,HI.nonSEAK,HI-GOA,NA,x,57.033333,-152.5,2004,BIOPSY-SWFSC-SPLASH,Jay,NA,2-Nov-21,3-Nov-21,NA,SPLASH match,z0043631,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,2,1,0,No
43934,43934,NA,NA,NA,NA,HI-GOA,M,Aplus,NA,HI.nonSEAK,HI-GOA,NA,x,57.033333,-156.166666,2004,BIOPSY-SWFSC-SPLASH,Jay,NA,2-Nov-21,3-Nov-21,NA,SPLASH match,z0043934,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,2,1,0,No
47601,47601,NA,NA,NA,NA,HI-GOA,M,Aminus,NA,HI.nonSEAK,HI-GOA,NA,x,57.183333,-153.116666,2004,BIOPSY-SPLASH-UAF,NA,Added 1.10.22,NA,NA,NA,SPLASH match,z0047601,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,2,1,0,No
40451,40451,NA,NA,NA,NA,HI-SEAK/NBC,F,E2,NA,NA,HI-SEAK/NBC,NA,x,21.116666,-157.416666,2004,BIOPSY-HIHWNMS,NA,bonus,NA,NA,NA,"Wintering ground photo was from SPLASH, matched to non-SPLASH photo taken by Jan/Chris/Janet",z0040451,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,2,1,1,No
56093,56093,NA,NA,NA,NA,MnMx-Baker,F,F2,NA,NA,MnMx-Baker,NA,x,20.75,-105.5,2004,BIOPSY-MEXICO-SPLASH,NA,bonus,NA,NA,NA,NA - no herd assigned,z0056093,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,2,1,1,No
51447,51447,NA,NA,NA,MMex,MnMx-CA/OR/WA/SBC,F,F6,MnMito43,mito,MnMx-CA/OR/WA/SBC,NA,x,37.383333,-123.716666,2005,BIOPSY-SWFSC-CSCAPE,Karin,NA,2-Nov-21,2-Nov-21,NA,Cascadia match pre-HW,z0051447,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,2,1,1,No
51932,51932,NA,NA,NA,MMex.WA,MnMx-CA/OR/WA/SBC,M,E7,MnMito27,mito,MnMx-CA/OR/WA/SBC,NA,x,47.85,-125.083333,2005,BIOPSY-CASCADIA,John,NA,3-Nov-21,"Yes, collaborator",NA,Cascadia match pre-HW,z0051932,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,2,1,0,No
108516,108516,NA,NA,NA,MMex,MnMx-CA/OR/WA/SBC,M,E13,MnMito17,mito,MnMx-CA/OR/WA/SBC,NA,x,36.783333,-122.016666,2012,BIOPSY-CA-MLML,Jim Harvey?,NA,2-Nov-21,3-Nov-21,NA,Cascadia match pre-HW,z0108516,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,2,1,1,No
175351,175351,NA,NA,NA,NA,MnMx-CA/OR/WA/SBC,M,Aplus,NA,NA,MnMx-CA/OR/WA/SBC,NA,x,37.5833,-122.7646,2014,TAGGING-CASCADIA,NA,Added 1.10.22,NA,NA,NA,FIBB,z0175351,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,2,1,1,No
195658,195658,NA,NA,NA,NA,MnMx-CA/OR/WA/SBC,F,Aplus,NA,CCES,MnMx-CA/OR/WA/SBC,NA,x,48.02,-125.407,2018,BIOPSY-SWFSC-CCES,Jeff,NA,2-Nov-21,2-Nov-21,NA,"Nico, FIBB",z0195658,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,2,1,0,No
195694,195694,NA,NA,NA,NA,MnMx-CA/OR/WA/SBC,F,Aminus,NA,CCES,MnMx-CA/OR/WA/SBC,NA,x,45.9232,-124.359,2018,BIOPSY-SWFSC-CCES,Jeff,NA,2-Nov-21,2-Nov-21,NA,"Nico, FIBB",z0195694,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,2,1,1,No
41526,41526,NA,NA,NA,NA,MnMx-SEAK,M,Aminus,NA,NA,MnMx-SEAK,NA,x,57.9,-136.6,2004,BIOPSY-UAS-STRALEY,Jan Straley,NA,NA,"Yes, collaborator",NA,"Nico, FIBB",z0041526,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,2,1,1,No
195645,195645,NA,NA,NA,NA,NA,F,Aminus,NA,CCES,NA,NA,x,48.4576,-125.0055,2018,BIOPSY-SWFSC-CCES,Jeff,NA,2-Nov-21,2-Nov-21,NA,NA - no winter photo,z0195645,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,3,1,1,No
195656,195656,NA,NA,NA,NA,NA,F,Aminus,NA,CCES,NA,NA,x,48.0146,-125.4192,2018,BIOPSY-SWFSC-CCES,Jeff,NA,2-Nov-21,2-Nov-21,NA,NA - no winter photo,z0195656,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,3,1,1,No
195686,195686,NA,NA,NA,NA,NA,M,Mnov_1_E4,NA,CCES,NA,NA,x,48.1827,-125.6768,2018,BIOPSY-SWFSC-CCES,Jeff,NA,2-Nov-21,2-Nov-21,NA,NA - no winter photo,z0195686,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,2,1,0,No
195750,195750,NA,NA,NA,NA,NA,F,E1_E11,NA,CCES,NA,NA,x,43.2135,-124.5884,2018,BIOPSY-SWFSC-CCES,Jeff,NA,2-Nov-21,2-Nov-21,NA,NA - no winter photo,z0195750,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,2,1,0,No
195757,195757,NA,NA,NA,NA,NA,F,E1_E11,NA,CCES,NA,NA,x,43.6346,-124.4297,2018,BIOPSY-SWFSC-CCES,Jeff,NA,2-Nov-21,2-Nov-21,NA,NA - no winter photo,z0195757,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,2,1,1,No
195763,195763,NA,NA,NA,NA,NA,F,E2,NA,CCES,NA,NA,x,43.7124,-124.328,2018,BIOPSY-SWFSC-CCES,Jeff,NA,2-Nov-21,2-Nov-21,NA,NA - no winter photo,z0195763,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,2,1,1,No
