"","LABID","Rep1","Rep2","overlapping.genos","mismatches","pct.mismatched"
"81","z0055965","z0055965.GTseq.prod","z0055965b.GTseq.prod",107,1,0.00934579439252336
"82","z0040403","z0040403.GTseq.prod","z0040403b.GTseq.prod",230,2,0.00869565217391304
"83","z0040403","z0040403.GTseq.prod","z0040403.RunMS54",11,0,0
"84","z0040403","z0040403b.GTseq.prod","z0040403.RunMS54",11,0,0
"85","z0196711","z0196711.GTseq.prod","z0196711b.GTseq.prod",284,1,0.00352112676056338
"86","z0195703","z0195703b.GTseq.prod","z0195703.GTseq.prod",237,1,0.00421940928270042
"87","z0195703","z0195703b.GTseq.prod","z0195703.RunMS51",275,0,0
"88","z0195703","z0195703.GTseq.prod","z0195703.RunMS51",240,1,0.00416666666666667
"89","z0041274","z0041274b.GTseq.prod","z0041274.GTseq.prod",5,0,0
"90","z0041274","z0041274b.GTseq.prod","z0041274.RunMS54",3,0,0
"91","z0041274","z0041274b.GTseq.prod","z0041274.RunMS58",5,0,0
"92","z0041274","z0041274.GTseq.prod","z0041274.RunMS54",39,2,0.0512820512820513
"93","z0041274","z0041274.GTseq.prod","z0041274.RunMS58",158,3,0.0189873417721519
"94","z0041274","z0041274.RunMS54","z0041274.RunMS58",45,1,0.0222222222222222
"95","z0173485","z0173485.GTseq.prod","z0173485b.GTseq.prod",236,1,0.00423728813559322
"96","z0173485","z0173485.GTseq.prod","z0173485.RunMS51",303,1,0.0033003300330033
"97","z0173485","z0173485b.GTseq.prod","z0173485.RunMS51",236,3,0.0127118644067797
"98","z0044042","z0044042.GTseq.prod","z0044042b.GTseq.prod",1,0,0
"99","z0044042","z0044042.GTseq.prod","z0044042.RunMS54",1,0,0
"100","z0044042","z0044042b.GTseq.prod","z0044042.RunMS54",132,3,0.0227272727272727
"101","z0196727","z0196727b.GTseq.prod","z0196727.GTseq.prod",217,3,0.0138248847926267
"102","z0196727","z0196727b.GTseq.prod","z0196727.RunMS51",283,2,0.00706713780918728
"103","z0196727","z0196727.GTseq.prod","z0196727.RunMS51",217,4,0.0184331797235023
"104","z0196748","z0196748.GTseq.prod","z0196748b.GTseq.prod",193,1,0.00518134715025907
"105","z0196748","z0196748.GTseq.prod","z0196748.RunMS51",276,0,0
"106","z0196748","z0196748b.GTseq.prod","z0196748.RunMS51",195,2,0.0102564102564103
"107","z0051400","z0051400b.GTseq.prod","z0051400.GTseq.prod",208,1,0.00480769230769231
"108","z0051400","z0051400b.GTseq.prod","z0051400b.RunMS54",310,0,0
"109","z0051400","z0051400b.GTseq.prod","z0051400.RunMS54",309,0,0
"110","z0051400","z0051400.GTseq.prod","z0051400b.RunMS54",207,1,0.00483091787439614
"111","z0051400","z0051400.GTseq.prod","z0051400.RunMS54",207,1,0.00483091787439614
"112","z0051400","z0051400b.RunMS54","z0051400.RunMS54",329,0,0
