"","locus","num.genotyped","num.missing","prop.genotyped","num.alleles","allelic.richness","prop.unique.alleles","exptd.het","obsvd.het","num.snps"
"126","Mnov_gtseq_299",533,4,0.992551210428305,2,0.00375234521575985,0,0.490560121202512,0.495344506517691,1
"127","Mnov_gtseq_30",464,73,0.864059590316574,2,0.00431034482758621,0,0.0786277573187518,0.0558659217877095,1
"128","Mnov_gtseq_300",509,28,0.947858472998138,2,0.00392927308447937,0,0.48039323639581,0.407821229050279,1
"129","Mnov_gtseq_305",497,40,0.925512104283054,2,0.00402414486921529,0,0.189140887621803,0.184357541899441,1
"130","Mnov_gtseq_307",528,9,0.983240223463687,2,0.00378787878787879,0,0.500328522188712,0.500931098696462,1
"131","Mnov_gtseq_308",536,1,0.998137802607076,2,0.00373134328358209,0.00186567164179104,0.466323842970024,0.476722532588454,1
"132","Mnov_gtseq_310",489,48,0.910614525139665,2,0.00408997955010225,0,0.255690702099202,0.217877094972067,1
"133","Mnov_gtseq_311",530,7,0.986964618249534,2,0.00377358490566038,0,0.416574910470896,0.396648044692737,1
"134","Mnov_gtseq_313",534,3,0.994413407821229,2,0.00374531835205993,0,0.340399243214024,0.346368715083799,1
"135","Mnov_gtseq_314",537,0,1,2,0.0037243947858473,0,0.50002169381865,0.508379888268156,1
"136","Mnov_gtseq_315",531,6,0.988826815642458,2,0.00376647834274953,0,0.500442854074701,0.48975791433892,1
"137","Mnov_gtseq_317",413,124,0.769087523277467,3,0.00726392251815981,0,0.545222686917602,0.418994413407821,2
"138","Mnov_gtseq_318",512,25,0.953445065176909,2,0.00390625,0,0.491918300953079,0.463687150837989,1
"139","Mnov_gtseq_320",506,31,0.942271880819367,2,0.00395256916996047,0,0.443334779872001,0.359404096834264,2
"140","Mnov_gtseq_321",537,0,1,2,0.0037243947858473,0,0.198680668724976,0.19366852886406,1
"141","Mnov_gtseq_322",528,9,0.983240223463687,2,0.00378787878787879,0,0.498518957345972,0.493482309124767,1
"142","Mnov_gtseq_323",537,0,1,3,0.00558659217877095,0,0.630392866378226,0.636871508379888,2
"143","Mnov_gtseq_326",523,14,0.973929236499069,2,0.00382409177820268,0,0.487568042302872,0.452513966480447,1
"144","Mnov_gtseq_328",537,0,1,2,0.0037243947858473,0,0.459306734976163,0.43389199255121,1
"145","Mnov_gtseq_33",537,0,1,2,0.0037243947858473,0,0.473780850779502,0.486033519553073,1
"146","Mnov_gtseq_332",485,52,0.90316573556797,2,0.00412371134020619,0,0.434604704605662,0.348230912476723,1
"147","Mnov_gtseq_333",520,17,0.968342644320298,2,0.00384615384615385,0,0.427918856889021,0.391061452513966,1
"148","Mnov_gtseq_334",537,0,1,2,0.0037243947858473,0,0.364402352651245,0.378026070763501,1
"149","Mnov_gtseq_335",536,1,0.998137802607076,2,0.00373134328358209,0.00186567164179104,0.450713867636607,0.467411545623836,1
"150","Mnov_gtseq_337",464,73,0.864059590316574,4,0.00862068965517241,0.0021551724137931,0.617481307889745,0.532588454376164,3
"151","Mnov_gtseq_339",536,1,0.998137802607076,2,0.00373134328358209,0.00186567164179104,0.499698635673175,0.497206703910615,1
"152","Mnov_gtseq_340",528,9,0.983240223463687,2,0.00378787878787879,0,0.492889200057447,0.463687150837989,1
"153","Mnov_gtseq_341",536,1,0.998137802607076,2,0.00373134328358209,0.00186567164179104,0.301454910322338,0.283054003724395,1
"154","Mnov_gtseq_342",473,64,0.880819366852886,2,0.00422832980972516,0,0.500526863317561,0.409683426443203,1
"155","Mnov_gtseq_344",537,0,1,2,0.0037243947858473,0,0.486719044222415,0.472998137802607,1
"156","Mnov_gtseq_345",537,0,1,2,0.0037243947858473,0,0.345310056733675,0.350093109869646,1
"157","Mnov_gtseq_347",537,0,1,2,0.0037243947858473,0,0.402160010135352,0.404096834264432,1
"158","Mnov_gtseq_350",373,164,0.694599627560521,2,0.00536193029490617,0,0.45633265559494,0.33147113594041,1
"159","Mnov_gtseq_352",524,13,0.975791433891993,2,0.00381679389312977,0,0.500431986701371,0.493482309124767,1
"160","Mnov_gtseq_353",530,7,0.986964618249534,2,0.00377358490566038,0,0.499759474049922,0.532588454376164,1
"161","Mnov_gtseq_356",529,8,0.985102420856611,2,0.00378071833648393,0,0.305714178409129,0.284916201117318,1
"162","Mnov_gtseq_357",518,19,0.964618249534451,2,0.00386100386100386,0,0.494633764198982,0.454376163873371,1
"163","Mnov_gtseq_359",443,94,0.824953445065177,2,0.00451467268623025,0,0.264842942954433,0.232774674115456,2
"164","Mnov_gtseq_361",473,64,0.880819366852886,4,0.00845665961945032,0,0.63576406367104,0.5512104283054,4
"165","Mnov_gtseq_363",496,41,0.92364990689013,2,0.00403225806451613,0,0.347766999772143,0.297951582867784,1
"166","Mnov_gtseq_364",455,82,0.847299813780261,2,0.0043956043956044,0,0.498516664853298,0.402234636871508,1
"167","Mnov_gtseq_366",533,4,0.992551210428305,3,0.00562851782363977,0,0.552537237181689,0.534450651769088,2
"168","Mnov_gtseq_368",483,54,0.899441340782123,3,0.0062111801242236,0,0.544466256878962,0.491620111731844,2
"169","Mnov_gtseq_37",536,1,0.998137802607076,4,0.00746268656716418,0.00186567164179104,0.730839848377162,0.729981378026071,2
"170","Mnov_gtseq_370",528,9,0.983240223463687,2,0.00378787878787879,0,0.500294413327589,0.476722532588454,1
"171","Mnov_gtseq_371",482,55,0.897579143389199,3,0.00622406639004149,0,0.587460089709285,0.538175046554935,2
"172","Mnov_gtseq_372",532,5,0.990689013035382,2,0.0037593984962406,0,0.495688892975619,0.517690875232775,1
"173","Mnov_gtseq_373",507,30,0.94413407821229,2,0.00394477317554241,0,0.281983134439661,0.256983240223464,1
"174","Mnov_gtseq_374",453,84,0.843575418994413,2,0.00441501103752759,0,0.499847547961411,0.443202979515829,1
"175","Mnov_gtseq_377",508,29,0.945996275605214,2,0.00393700787401575,0,0.478288274310539,0.459962756052142,1
"176","Mnov_gtseq_378",535,2,0.996275605214153,4,0.00747663551401869,0,0.568393904688634,0.603351955307263,3
"177","Mnov_gtseq_38",537,0,1,2,0.0037243947858473,0,0.321637761822697,0.338919925512104,1
"178","Mnov_gtseq_380",529,8,0.985102420856611,2,0.00378071833648393,0,0.243582704554925,0.238361266294227,1
"179","Mnov_gtseq_383",507,30,0.94413407821229,2,0.00394477317554241,0,0.13880305534949,0.0968342644320298,1
"180","Mnov_gtseq_384",500,37,0.931098696461825,2,0.004,0,0.499347347347347,0.487895716945996,1
"181","Mnov_gtseq_386",473,64,0.880819366852886,2,0.00422832980972516,0,0.492741367159972,0.391061452513966,1
"182","Mnov_gtseq_388",386,151,0.718808193668529,2,0.00518134715025907,0,0.500564504747888,0.344506517690875,1
"183","Mnov_gtseq_39",537,0,1,2,0.0037243947858473,0,0.498216768106963,0.549348230912477,1
"184","Mnov_gtseq_394",519,18,0.966480446927374,2,0.00385356454720617,0,0.412989150933755,0.383612662942272,2
"185","Mnov_gtseq_397",521,16,0.970204841713222,2,0.00383877159309021,0,0.306926567360116,0.303538175046555,1
"186","Mnov_gtseq_398",533,4,0.992551210428305,3,0.00562851782363977,0,0.488342185697047,0.454376163873371,2
"187","Mnov_gtseq_399",535,2,0.996275605214153,3,0.00560747663551402,0.00186915887850467,0.502221483961778,0.51024208566108,3
"188","Mnov_gtseq_40",534,3,0.994413407821229,2,0.00374531835205993,0,0.232151820533612,0.202979515828678,1
"189","Mnov_gtseq_400",471,66,0.877094972067039,2,0.00424628450106157,0,0.498074280647367,0.461824953445065,1
